pos	id	title	duration_s	words	sentences	wps	verdict	provenance
0	Uyxl0KZysRA	EEVblog 1764 - Can I Retire Now?	677	2055	205	10.0	good	youtube-asr
1	QatCeNYQQA8	EEVblog 1763 - Meet Dylan	387	1371	187	7.3	good	youtube-asr
2	inxiPN9JXrg	EEVblog 1762 - BIOHAZARD TEARDOWN!: Logitech Keyboard	768	2102	288	7.3	good	youtube-asr
3	JxuWOyY0e_Y	EEVblog 1761 - Micsig MHO14 Tablet Oscilloscope TEARDOWN	1783	5008	469	10.7	good	youtube-asr
4	BmcoJqMxT6g	eevBLAB 142 - The Inevitable Future of AI Youtube Thumbnails	2253	6569	577	11.4	good	youtube-asr
5	P993ezQPUJ0	EEVblog 1760 - Today in the Dumpster (July 12th, 2026)	707	1790	213	8.4	good	youtube-asr
6	6MFWEM_i7No	EEVblog 1759 - ACES Hardware Meetup (Startup Hardware is Hard)	5224	16197	1177	13.8	good	youtube-asr
7	8Ppg5GwjdaY	EEVblog 1758 - A Greek Dumpster Tragedy	1433	3892	451	8.6	good	youtube-asr
8	B32smNzYBaU	EEVblog 1757: Sharp GF-7600 Boombox Repair PART 2 Electric Boogaloo	1230	3366	308	10.9	good	youtube-asr
9	M6V_nPBnkgs	EEVblog 1756 - Sharp 1980's Boombox Bodge Repair	831	2334	248	9.4	good	youtube-asr
10	Gdj-8amVTx0	EEVblog 1755 - Tolicore Femtoammeter TEARDOWN + REVERSE ENGINEER	2871	8109	714	11.4	good	youtube-asr
11	AOBcLVVZNrI	The EEVBlog is HIRING!	90	273	19	14.4	good	youtube-asr
12	sskcImW7ulU	EEVblog 1754 - 2026 Electronex Show WALKAROUND	1389	3136	476	6.6	good	youtube-asr
13	WdYBL-_8-oo	EEVblog 1753 - Designing a 2000V Isolated Oscilloscope (Cleverscope)	1600	5519	725	7.6	good	youtube-asr
14	22ZmmZ67SMY	EEVblog 1752 - Texas Instruments SCREWED UP the NE5532!	1655	4635	333	13.9	good	youtube-asr
15	Sf0RyRZAuqk	EEVblog 1751 - Oscilloscope Phase Measurement Masterclass	1436	4103	313	13.1	good	youtube-asr
16	_6pF3_MLlco	EEVblog 1750 - Mailbag	2885	8212	1061	7.7	good	youtube-asr
17	wQbCsk7UAFc	eevBLAB 141 - Solar Analytics is a RIP OFF!	916	2981	253	11.8	good	youtube-asr
18	PFRdmn3SipY	EEVblog 1749 - Werewolf VFLEX USB-C Power Supply Adapters - Very Cool!	925	2629	277	9.5	good	youtube-asr
19	zGyHTFXEtzg	EEVblog 1748 - Dumpster iMac BONANZA!	761	2035	262	7.8	good	youtube-asr
20	NyGznsgUt7U	EEVblog 1747 - Schottky vs PN Diodes & Measurement Traps	1486	4286	347	12.4	good	youtube-asr
21	6JhK8iCQuqI	EEVblog 1746 - The 555 is 55 Years Old!	356	949	81	11.7	good	youtube-asr
22	sP9_y8-lsKg	Norwest Business Park Internet is DOWN FOR 2 WEEKS!	1036	2719	269	10.1	good	youtube-asr
23	WbwqOo6IonI	EEVblog 1745 - Part 2 - BM2257 Buzzer Boogaloo	329	840	83	10.1	good	youtube-asr
24	CaxzxEB44Vs	EEVblog 1745 - Continuity Tester Spectral Probing	1146	3147	270	11.7	good	youtube-asr
25	0xqt4WF2G7k	EEVblog 1744 - NEW Micsig DP700 High Voltage Differential Probe	2178	6617	606	10.9	good	youtube-asr
26	HLmty8KcOd4	EEVblog 1743 - Mechanical Vibration Detection with your Oscilloscope Probe	540	1461	121	12.1	good	youtube-asr
27	wEXKHmJmVBY	EEVblog 1742 - Today in the Dumpster Room	472	1223	142	8.6	good	youtube-asr
28	DyYZhjN7Fm0	eevBLAB 140 - Facebook Tutorial Views WTF?	523	1374	174	7.9	good	youtube-asr
29	FzOXabzWmWo	EEVblog 1741 - Mailbag!	1640	4114	534	7.7	good	youtube-asr
30	Z2pSjOrc6Es	EEVblog 1740 - Dumpster Diving Dell Laptop HAUL!	1195	3626	609	6.0	good	youtube-asr
31	MkQisz2VF8I	EEVblog 1739 - UNUSUAL FAULT! in a Beelink Ryzen 9 Mini PC	885	2382	254	9.4	good	youtube-asr
32	fPejBipLuFo	EEVblog 1738 - Solar Freakin' Roadways NEW FUNDING!	1009	2820	329	8.6	good	youtube-asr
33	PhGLJhfbdSk	EEVblog 1737 - Alex Lidow: Inventor of the Power MOSFET	3866	10682	856	12.5	good	youtube-asr
34	gBKEvHhRvSs	eevBLAB 139 - The Youtube Copyright System is BROKEN	823	2299	235	9.8	good	youtube-asr
35	eI5epLNfXf0	EEVblog 1736 - TOP 5 Jellybean MOSFET's	2367	7061	544	13.0	good	youtube-asr
36	37vl4TEh5WI	eevBLAB 138 - The AI Supply Chain is INSANE!	1073	2856	263	10.9	good	youtube-asr
37	5lG2mUWI3rs	EEVblog 1735 - Power Rail Probing & Oscilloscope DC Offset EXPLAINED	1321	3815	279	13.7	good	youtube-asr
38	2KQc8XP45UA	EEVblog 1734 - Uni-T UT892 2000V High Voltage Multimeter TESTED	1563	4224	458	9.2	good	youtube-asr
39	3SJdNOjVj44	EEVblog 1733 - Mailbag: $100 2GHz Power Rail Probe, Retro Chip Tester	2354	6867	684	10.0	good	youtube-asr
40	RYAjIq4XCQY	EEVblog 1732 - 20yo 1000+ Cycle Panasonic Li-Ion Battery TESTED	1778	5020	456	11.0	good	youtube-asr
41	KsIJo7lUh5w	EEVblog 1731 - $50 Ziboo 17B Pro Multimeter vs $150 Fluke REVIEW	2194	6238	673	9.3	good	youtube-asr
42	wBGtsLcmdCU	eevBLAB 137 - Youtube AI Slop Creators Are SHAMELESS!	1475	4308	365	11.8	good	youtube-asr
43	anTMgvCK-3g	EEVblog 1730 - AC Basics Tutorial Part 8: Apparent, Reactive & Real Power	1687	4740	304	15.6	good	youtube-asr
44	lf_HBWfFdNY	EEVblog 1729 - AC Basics Tutorial Part 7: AC Ohms Law	680	1897	137	13.8	good	youtube-asr
45	n5oXtI3jz2I	EEVblog 1728 - AC Basics Tutorial Part 6: Impedance, Conductance, Susceptance, Admittance	960	2581	186	13.9	good	youtube-asr
46	qiG6BbqVxfk	EEVblog 1727 - REPAIR: Casio CT-X700 Keyboard	1353	3848	586	6.6	good	youtube-asr
47	scXuW8KdYkQ	EEVblog 1726 - REPAIR of an EV Charger (Unusual Twist!)	1368	3809	350	10.9	good	youtube-asr
48	uJQF7G6j76A	EEVblog 1725 - Mailbag: with special guest Sagan!	2687	7826	1349	5.8	good	youtube-asr
49	xSrauiuJbnE	EEVblog 1724 - BWD 603B MiniLab RETRO TEARDOWN	1267	3588	373	9.6	good	youtube-asr
50	9FEOvQaBCcs	eevBLAB 136: Australian Government eSafety Office RECOMMENDS a VPN	331	971	89	10.9	good	youtube-asr
51	Y4HyoVrEsR8	EEVblog 1723 - AlienTek DM40 Multimeter/Oscilloscope Review	2895	8165	950	8.6	good	youtube-asr
52	v1BF9_a0_tA	EEVblog 1722 - Manufacturing Hardware War STORY	1260	3995	220	18.2	good	youtube-asr
53	gO7hdxyCNCA	EEVblog 1721 - RIP Arduino (New T&C Deep Dive)	870	2454	168	14.6	good	youtube-asr
54	VEWTwdG7dy8	eevBLAB 135 - SNEAKY Gmail is Training AI with YOUR Emails	242	703	42	16.7	good	youtube-asr
55	G3EfUcMvEQo	EEVblog 1720 - Mailbag: USSR Bonanza + Logic Training + $69 Logic Analyzer	2650	6811	827	8.2	good	youtube-asr
56	EK_X03lTmEE	EEVblog 1719 - 75kWh Home Storage Battery Expansion!	2116	6075	754	8.1	good	youtube-asr
57	E3G9G79YErg	EEVblog 1718 - Cheap 1GHz Oscilloscopes are Useless? ($5 DIY 1GHz Resistive Probe)	1607	4662	342	13.6	good	youtube-asr
58	6lBU4NwmY7s	EEVblog 1717 - Rigol's INSANE New $999 350MHz Oscilloscope: TEARDOWN	2439	6907	708	9.8	good	youtube-asr
59	jp-pSRQ7fLE	eevBLAB 134 - The End of OG Youtube?	871	2465	189	13.0	good	youtube-asr
60	hHZ1sS1vH4I	EEVblog 1716 - University Dumpster Diving: Kikusui Oscilloscope	1346	3602	409	8.8	good	youtube-asr
61	YbvJGekAHYw	EEVblog 1715 - Euler Precision eSAP-30 3GHz Active Probe REVIEW	1315	4151	367	11.3	good	youtube-asr
62	xVp7yund84w	EEVblog 1714 - Presonus Eris Speaker REPAIR (Capacitor Pop Noise)	1740	4798	479	10.0	good	youtube-asr
63	pG9m4fN71rQ	EEVblog 1713 - CRAZY Density Magnetic Core Memory from Space Shuttle!	1013	2935	237	12.4	good	youtube-asr
64	rXQzavvMiVc	EEVblog 1712 - CSIRO Mobile Space Mission Control Centre	540	1671	114	14.7	good	youtube-asr
65	9_C5RTTKOw8	EEVblog 1711 - International Astronautical Congress IAC 2025 Walkaround	3204	6993	1169	6.0	good	youtube-asr
66	ooICI1MU7kk	EEVblog 1710 - Mailbag: Tennismatic, Breadboards, Books & Boost Converters	1800	5076	593	8.6	good	youtube-asr
67	XcwzCpw295I	EEVblog 1709 - Haasoscope Pro USB Oscilloscope: An Oscilloscope Oddity	2796	8080	1031	7.8	good	youtube-asr
68	T6yQZpOVe-A	eevBLAB 133 - YouTube Just Self Destructed (AI Shorts Integration)	509	1573	170	9.3	good	youtube-asr
