pos	id	title	duration_s	words	sentences	wps	backchannel_per_1k	speakers	verdict	provenance
0	eWbOLKaeBtU	Geekom IT13 Mini PC Review + AI Fun Stuff!	949	2341	180	13.0	5.6	solo	good	youtube-asr
1	EXHFBQMTXWM	Home Ventilation System Troubleshooting	566	1669	150	11.1	10.8	solo	good	youtube-asr
2	sOgKdzm6mK0	Today in the Dumpster	262	637	93	6.8	15.7	solo	good	youtube-asr
3	YnogEvahPyU	EEVblog Lab Cubicle Time-Lapse	191	0	0	0	0.0	unknown	no-captions	whisper-large-v3
4	bvJr_nWg5qU	SpaceX Starship Flight 13 - Launch + Spectacular Landing! + RANTS	1947	5538	666	8.3	14.3	solo	good	youtube-asr
5	W2o8otvVML4	ZERO INPUT PROTECTION! Micsig MHO14 Oscilloscope/Multimeter	518	1424	97	14.7	8.4	solo	good	youtube-asr
6	8kXSwXurPCk	Lab Electricity 2 - Supply Charge Boogaloo	458	1317	115	11.5	9.1	solo	good	youtube-asr
7	mkZFHEeQkQI	Unusual Repair - Part 2 - Thermal Boogaloo	419	1265	78	16.2	5.5	solo	good	youtube-asr
8	Q2w-SRGpI5M	SpaceX Starship Flight 13 ABORT! (Failed Ignition)	414	1054	124	8.5	18.0	multi	good	youtube-asr
9	W6T2TGwc-p8	AI Slop of the Day - Award Winner (Multimeters)	789	2204	206	10.7	11.3	solo	good	youtube-asr
10	JI4b-7vpIDc	An Unusual Repair	428	1096	119	9.2	15.5	solo	good	youtube-asr
11	OOFoYVQ7kVo	Rohde & Schwarz NGA100 PSU FAIL - PLEASE EXPLAIN	228	632	63	10.0	14.2	solo	good	youtube-asr
12	GgIRnbm9gYI	Chinese Packaging Madness!	229	377	53	7.1	23.9	multi	good	youtube-asr
13	KKpYlUcG6Ww	Any two random Electronics Engineers	27	0	0	0	0.0	unknown	no-captions	whisper-large-v3
14	OvGdE5hC1Ro	Bakon BK212 Soldering Station - URGH	1038	2924	305	9.6	11.3	solo	good	youtube-asr
15	MqECOT5j-cE	Latte Panda BIOS Linux Troubleshooting - Featuring Sagan	1281	4103	673	6.1	39.7	multi	good	youtube-asr
16	GYkGSsaUYog	Mount York Abseil Practice Gully	163	472	53	8.9	4.2	solo	good	youtube-asr
17	g5X58xMY-F0	Zig Zag Railway stream locomotive	50	105	11	9.5	9.5	solo	good	youtube-asr
18	OdovWOP7ik4	OF COURSE this happened	853	2067	209	9.9	13.5	solo	good	youtube-asr
19	xiE8dKH7ow0	True Grit 2026 Sydney - OCR Obstacle Course Race	1751	3280	588	5.6	22.3	multi	good	youtube-asr
20	4tLpWeC1FL4	Miniature SMD Production Line	262	844	68	12.4	23.7	multi	good	youtube-asr
21	L9DTOvLmjaQ	The EEVblog is HIRING!	90	273	19	14.4	7.3	solo	good	youtube-asr
22	J17zoPsYkGw	The Electricity Supply Charge RUG PULL	859	2605	198	13.2	10.0	solo	good	youtube-asr
23	0nAtroH_6eg	Bulova Accutron II Watch Repair - PART 1	713	1801	210	8.6	11.1	solo	good	youtube-asr
24	VTHcxTst_RA	Rohde & Schwarz MXO3 3 Phase Power Measurement	591	1547	147	10.5	33.6	multi	good	youtube-asr
25	cYMvF92cSdE	Electronex Sydney 2026 Birds Eye View Walkaround	372	97	17	5.7	61.9	multi	good	youtube-asr
26	CAnzM-7vtyQ	Today in the Dumpster...	68	133	29	4.6	37.6	multi	good	youtube-asr
27	uw_rsjekusk	Today in the Dumpster	512	1266	169	7.5	27.6	multi	good	youtube-asr
28	0f_M9XdPKfU	Another STUPID Youtube Copyright Claim on NASA Archive Footage	426	1137	124	9.2	21.1	multi	good	youtube-asr
29	AqV7MERFExs	Another STUPID Youtube Creator Change (Like/Dislike Ratio)	472	1413	81	17.4	12.0	solo	good	youtube-asr
30	xb-uEIz_XKo	2020 Hyundai IONIQ Recall + Mysterious Relay Clicking	138	319	29	11.0	12.5	solo	good	youtube-asr
31	-ON1AdmAMOY	Vintage Tek Museum: Curve Bug Signal Debugger	632	1933	175	11.0	6.2	solo	good	youtube-asr
32	JWr5E2ej5cg	Part 2: Citizen EcoDrive Watch Battery Replacement	463	1313	137	9.6	9.9	solo	good	youtube-asr
33	goBrh5euPLM	SpaceX Starship 12 Launch + Landing + NASA HLS  Rant	1467	3735	489	7.6	19.5	multi	good	youtube-asr
34	B8wrKK5dui0	Starship 12 Landing	82	186	39	4.8	21.5	multi	good	youtube-asr
35	n4NBUruLyoo	The 1000th Video - The Lost Tape	1933	5230	541	9.7	6.9	solo	good	youtube-asr
36	0z5dGXlRibA	A Very Strange BM235 Fault	144	364	45	8.1	8.2	solo	good	youtube-asr
37	6aDPhSTdR9Q	Today in the Dumpster Room	112	249	29	8.6	12.0	solo	good	youtube-asr
38	0018phUFjuQ	Citizen EcoDrive Watch Battery Replacement	507	1408	178	7.9	18.5	multi	good	youtube-asr
39	ehZvnvhtJMo	The Dumpster Room is REAL: A Tour	372	1039	88	11.8	6.7	solo	good	youtube-asr
40	dSek3p8gyv4	Tangem Open Source Crypto Bitcoin Hardware Wallet REVIEW	1312	4010	363	11.0	11.2	solo	good	youtube-asr
41	6mLLSF3he28	Today in the Dumpster	226	610	65	9.4	9.8	solo	good	youtube-asr
42	j-AqRB8Q-9w	The Dumpster Nikon D60 DSLR	159	392	62	6.3	33.2	multi	good	youtube-asr
43	8_VAIFYKIA4	555 or 556?	219	560	19	29.5	3.6	solo	good	youtube-asr
44	NN8qJqpV9Jk	Thredbo Mount Kosciusko Chair Lift POV Ride	669	0	0	0	0.0	unknown	no-captions	whisper-large-v3
45	kbEZNifcdd0	NBN Update: Vodafone Internet Activation Hell Loop	544	1560	153	10.2	25.0	multi	good	youtube-asr
46	mdw04pjDfjo	Bunker Internet Achievement Unlocked	374	1109	92	12.1	10.8	solo	good	youtube-asr
47	lZYvGxQttT4	BM2257 Firmware Difference	62	112	12	9.3	0.0	solo	good	youtube-asr
48	MFA5VP2j5DI	Dumpster Diving PC's	261	692	61	11.3	17.3	solo	good	youtube-asr
49	NXUuEepfjG0	Bunker Power & Lighting Upgrade	196	539	44	12.2	5.6	solo	good	youtube-asr
50	r8CwCuucWz8	Copyright Struck on Artemis II Launch!	214	520	69	7.5	17.3	solo	good	youtube-asr
51	p5BjSoLgIoE	NASA Artemis II Launch LIVE REACTION - EEVBlog	925	2449	359	6.8	13.1	solo	good	youtube-asr
52	vRBVVm3-mLw	Tin Collection Culling - It's yours if you want it.	152	381	42	9.1	31.5	multi	good	youtube-asr
53	LrLiQYHJ9gs	Creality K1 Max Blocked Nozzle Replacement FAIL	448	1120	134	8.4	14.3	solo	good	youtube-asr
54	qRV1a-rnaSU	Raw Challenge Obstacle Race 2026 at Doyalson	1643	2749	626	4.4	34.6	multi	good	youtube-asr
55	1rfq05vq9Fw	Ultimate Monkey Bars - RAW Challenge 2026 + Ice Bath	133	203	53	3.8	39.4	multi	good	youtube-asr
56	q7VQfhkOLm8	Dumpster Dell Latitude 5490 Laptop Battery Upgrade	571	1593	180	8.8	7.5	solo	good	youtube-asr
57	9WHd7bbxltI	AI Data Centre Construction Environmental Runoff	76	176	7	25.1	11.4	solo	good	youtube-asr
58	-2UtPzraRG4	The Weird Western Australian Google Maps Anomaly!	255	663	91	7.3	10.6	solo	good	youtube-asr
59	J7Ks2FEzYMY	Bunker Internet Access	115	294	19	15.5	13.6	solo	good	youtube-asr
60	u6Qd9KfQOzQ	EEVblog Bunker Rummage + CLEANUP	1170	3469	336	10.3	12.1	solo	good	youtube-asr
61	Rmhu0Yvba2Y	So, I bought an Apple Macbook Air M2	1192	3309	404	8.2	19.6	multi	good	youtube-asr
62	afwqRu7W8V0	Apple Powerbook 165C Vinegar Syndrome Repair Attempt	761	1983	193	10.3	17.7	solo	good	youtube-asr
63	W91qP8GpgjM	Apple Powerbook 165C Laptop	549	1490	197	7.6	16.1	solo	good	youtube-asr
64	k7FlF0ON1VM	Carbon Dioxide CO2 Levels in the Lab?	771	2413	145	16.6	7.5	solo	good	youtube-asr
65	oY_-wnZQQPE	Spartan Obstacle Race: Glenworth Valley 2026	1707	3246	601	5.4	24.0	multi	good	youtube-asr
66	xVPImZHdJPw	Today in the Dumpster Room	62	162	19	8.5	24.7	multi	good	youtube-asr
67	s6lVvIWWNBw	Can VoiceBox AI Clone Dave's Voice?	911	2829	290	9.8	17.7	solo	good	youtube-asr
68	-KSPOPz4VXk	Alkaline Battery Leakage AGAIN	272	679	74	9.2	16.2	solo	good	youtube-asr
69	bs-r8BtWIAk	The Mysterious Bat Phone	290	845	56	15.1	8.3	solo	good	youtube-asr
70	rbIrnPwLgUM	Dumpster Diving Rack Time	264	682	82	8.3	16.1	solo	good	youtube-asr
71	IxuK0wQV8X8	Occupation UNACCEPTABLE!	823	2536	203	12.5	9.1	solo	good	youtube-asr
72	hZd3c8Z6szc	Captain Thunderbolt's Hideout	375	760	117	6.5	18.4	multi	good	youtube-asr
73	NnyxViErSYg	Lake Mckenzie - One of the best swimming beaches in the world!	267	539	85	6.3	5.6	solo	good	youtube-asr
74	pxBxDPx9cyE	TOUR: Australia Telescope Compact Array	1468	3800	473	8.0	10.8	solo	good	youtube-asr
75	I_sX7jRd7bA	Climbing Bald Rock	356	732	126	5.8	20.5	multi	good	youtube-asr
76	OlO8pNWnOak	POV Bike Ride Innes Park to Bargara	3492	6867	1000	6.9	24.2	multi	good	youtube-asr
77	S0xKYgWgrc8	Hunter WarBirds Museum - Top View	96	207	21	9.9	9.7	solo	good	youtube-asr
78	PyyWlO067pY	Hunter WarBirds Museum	1006	2450	431	5.7	24.9	multi	good	youtube-asr
79	D-gnCzlvIcc	"Dumpster Diving TV and 27"" Monitor"	172	444	59	7.5	15.8	solo	good	youtube-asr
80	T4jk_4mvUzY	Professional Youtuber...	38	41	5	8.2	24.4	multi	good	youtube-asr
81	sxUnA5dn3AU	Zelda Watch Bodge Repair 2 - Electric Boogaloo	567	1667	159	10.5	14.4	solo	good	youtube-asr
82	7v-WfiFrFMM	Tutorial: Casio Calculator R-P and P-R Functions	259	755	64	11.8	0.0	solo	good	youtube-asr
83	lEpmVxMu-PE	Zelda Watch Bodge Repair After Chlorine Pool Dunking	876	2331	231	10.1	13.7	solo	good	youtube-asr
84	7elNu-QH940	Copper Block Energy Flow Riddle	58	145	18	8.1	0.0	solo	good	youtube-asr
85	fqnHbpQY6EM	XMAS Lights	172	339	58	5.8	20.6	multi	good	youtube-asr
86	CqyMr98_XL0	Can a Partially Colour Blind 14yo Read Resistor Colour Codes?	1030	2797	560	5.0	49.0	multi	good	youtube-asr
87	pplh2yoXulw	Can a 14yo Identify This Vintage Computer Relic?	244	800	128	6.2	35.0	multi	good	youtube-asr
88	GDGLqZMc_Wo	WHY Does Dryer Lint Always Look Gray?	212	573	47	12.2	0.0	solo	good	youtube-asr
89	AKNEpSLtzxw	2025 Spartan Stadion Obstacle Race - Wollongong	889	1632	295	5.5	20.8	multi	good	youtube-asr
90	4ANGcEJbrTE	$260 NerdQaxe++ Open Source Solo Bitcoin Miner REVIEW	812	2385	235	10.1	4.2	solo	good	youtube-asr
91	2KD8cSOTr1o	Youtube Stats	704	2262	172	13.2	11.1	solo	good	youtube-asr
92	zoxlaAt6xKM	Old IBM Data Center at Norwest moving to 110MW for AI	171	435	38	11.4	13.8	solo	good	youtube-asr
93	0h7lKgIFFXA	BitAxe Ultra $80 Bitcoin ASIC Miner REVIEW	1389	4048	353	11.5	7.9	solo	good	youtube-asr
94	YaTldV7-uXo	When Safety Goes Out The Window	262	723	52	13.9	6.9	solo	good	youtube-asr
95	SXWHvHLbS5s	AERL Home Storage Battery Install Time-lapse	78	0	0	0	0.0	unknown	no-captions	whisper-large-v3
96	3hHG_WcJtQo	Solis Cloud & Battery Charge Timer	525	1580	140	11.3	7.6	solo	good	youtube-asr
97	kKfZgAyFu8Q	Solis Hybrid Inverter	693	2045	162	12.6	16.6	solo	good	youtube-asr
98	Fx3YixoQS6E	Improving the Rigol MHO98 Boot Time + Low Power Mode	227	556	59	9.4	10.8	solo	good	youtube-asr
99	PrYRxFA8L0o	Grokipedia Creative Commons BUG	157	444	39	11.4	15.8	solo	good	youtube-asr
100	_WYHJHINld0	ACES Hardware Meetup at Morse Micro	498	1337	136	9.8	15.7	solo	good	youtube-asr
101	Z_c4wjBpSzE	Grokipedia vs Wikipedia	1070	3136	245	12.8	12.1	solo	good	youtube-asr
102	cKd3UyFDJl4	Colonel Sanders vs Ronald McDonald - 2025 Raw Challenge	103	220	50	4.4	9.1	solo	good	youtube-asr
103	0NUaQ11G6hk	2025 Raw Challenge Obstacle Race at Doyalson	1521	2571	472	5.4	13.6	solo	good	youtube-asr
104	fCs3rO0UYIg	Ice Bath - Raw Challenge 2025	57	79	25	3.2	25.3	multi	good	youtube-asr
105	s-oMJHYo8Sg	Dumpster Diving Haul	267	745	76	9.8	10.7	solo	good	youtube-asr
106	y3WlxxgZwcs	Space Shuttle Magnetic Core Memory	722	1956	172	11.4	5.1	solo	good	youtube-asr
107	ZAPNjC8Ucc8	"Roadside Trash 50"" 4K TV Monitor"	211	533	72	7.4	18.8	multi	good	youtube-asr
108	DCjX4jmSCRo	AI Music Videos Have a Long Way to Go - Producer AI	786	2173	211	10.3	8.7	solo	good	youtube-asr
109	sR-KNHfh_Kw	Bella Vista Farm Light Show	605	1141	128	8.9	9.6	solo	good	youtube-asr
110	zBWxk_0Sc2o	Dumpster Diving TV	109	285	43	6.6	10.5	solo	good	youtube-asr
111	xh_O-EYrEOE	IAC 2025 - Australian Stand	230	554	79	7.0	12.6	solo	good	youtube-asr
112	e2oogsffwwc	FireFly Blue Ghost Lunar Lander - Fleet Seismometer	502	1756	140	12.5	12.0	solo	good	youtube-asr
113	y5UpAL4yWxQ	International Astronautical Congress  IAC 2025 - Birdseye Walkthrough	1492	0	0	0	0.0	unknown	no-captions	whisper-large-v3
114	KTr-44n0bbU	Garmin GPS Battery Kickstarting	690	2012	230	8.7	12.9	solo	good	youtube-asr
115	XOuYJ1nxVJQ	BM787BT Bluetooth CYBLE-212006-01 Fimware OTA Update	531	1412	164	8.6	17.0	solo	good	youtube-asr
116	Q_RYG_5cQk8	Brymen BM787BT BLE Module Replacement	734	1972	239	8.3	20.8	multi	good	youtube-asr
117	Z8-oeMNQE_s	Norwest Townhouse vs House Prices	876	2661	344	7.7	24.1	multi	good	youtube-asr
118	jQb97Xmw3P8	Norwest Bike Ride	3193	7069	877	8.1	16.0	solo	good	youtube-asr
119	NvejiD5ngEM	Australian Magpie ATTACK!	141	315	85	3.7	73.0	multi	good	youtube-asr
120	XlEjL8tWM6U	The Youtube Aug10th View Drop Theory	627	1894	146	13.0	11.1	solo	good	youtube-asr
121	4oe6c2uaepM	Brymen BM787BT iPhone App Update	520	1500	176	8.5	12.7	solo	good	youtube-asr
122	aANZNwmnC_4	AERL Lithium Home Storage Battery - Cloud Data	642	2021	186	10.9	9.9	solo	good	youtube-asr
123	RjfStZa4Si8	AERL Battery Firmware Update	295	832	64	13.0	10.8	solo	good	youtube-asr
124	Ij6r6uXr2Mo	Flashing the eMMC on a Raspberry Pi CM4 Compute Module	505	1465	193	7.6	22.5	multi	good	youtube-asr
