id	channel	duration_s	verdict	title
mfZcvvBwoj8	EEVblog	1274	needs-whisper	EEVblog 1678 - Oscilloscope Trigger Warning
TkmMitYnHUA	EEVblog	2960	needs-whisper	New Brymen BM787BT Bluetooth Multimeter Teardown (Live Recorded)
brj1-AYDCXM	EEVblog	379	needs-whisper	eevBLAB 126 - Ebay Oscilloscope ABUSE
n-mFgfLasM8	EEVblog	550	needs-whisper	EEVblog 1673 - JBL Partybox 310 Repair - Part 2 (SPOILER)
n4sL8pCmbyY	EEVblog	613	needs-whisper	eevBLAB 124 - Microsoft Majorana 1 Quantum Computer: Can it Muntz?
KqlHjIVyzOA	EEVblog	1160	needs-whisper	EEVblog 1668 - HORRIFIC Alkaline Battery Leakage in Rare Prototype Multimeter
8GLL6P662Fo	EEVblog	1299	needs-whisper	EEVblog 1667 - Reverse Engineering the Brymen BM2257 Multimeter LowZ Mode
Q4tcpHrTSP0	EEVblog	960	needs-whisper	EEVblog 1666 - Blown SMD Component Identification
c_mmVFMXFQo	EEVblog	1461	needs-whisper	EEVblog 1665 - Keithley VFD REPAIR 2 - Electric Boogaloo
9lXCqePhJ4g	EEVblog	125	needs-whisper	2025 EEVblog Viewer Survey and GIVEAWAY
ETopbGankfo	EEVblog	1571	needs-whisper	EEVblog 1663 - BM786 Multimeter REPAIR + InEr Error Investigation
pD0dVebSZMs	EEVblog	1878	needs-whisper	EEVblog 1662 - Vintage Tandy 200 Portable Computer Claytons Repair/Teardown
pXZtk68B3zY	EEVblog	550	needs-whisper	EEVblog 1655 - How to Discharge Capacitors SAFELY using a Multimeter!
8Mfw0X5jY3A	EEVblog	547	needs-whisper	eevBLAB 123 - MORE Youtube AI BS! - AI Description Summaries
RzlClNhheC8	EEVblog	10687	needs-whisper	EEVblog 1654 - Lee Felsenstein: The Computer Revolution & Counterculture
jVPQGPM5Tgg	EEVblog	436	needs-whisper	EEVblog 1652 - Why is my Lab Switchboard Wired Like This?
OnoFcU0gro0	EEVblog	346	needs-whisper	eevBLAB 122 - Flake 778 Multimeter Smartwatch!
xrVXfeHxH0s	EEVblog	179	needs-whisper	EEVblog 1648 - USB Battery Bank mAh Capacity ratings are a LIE!
YM5nKvIH2vw	EEVblog	2432	needs-whisper	EEVblog 1644 - Mailbag: CrowView Monitor, Casio Game, 4-20mA Encoder, Wurkkos Battery, Rulerize
cnoN2gtT4iM	EEVblog	859	needs-whisper	EEVblog 1627 - Electronex: Engineering Consulting with Xentronics
mH0yzt85s-c	EEVblog	801	needs-whisper	EEVblog 1624 - Electronex: Liquid Instruments Moku Oscilloscope
PLFp0CfJTFY	EEVblog	2474	needs-whisper	EEVblog 1623 - Electronex 2024 Walkthrough
RToaq4pYp_M	EEVblog	1020	needs-whisper	EEVblog 1615 - Dumpster Dive HP Pro One PC
5B6O1aFA5l8	EEVblog	652	needs-whisper	eevBLAB 118 - NEW Apple iPad Pro: Volumetric Engineering vs Marketing
kpzNVsSmUu0	EEVblog	1792	needs-whisper	EEVblog 1597 - Zoyi ZT-703S $80 2CH 50MHz Oscilloscope/Multimeter Review
AFz0qmkq4LM	EEVblog	1022	needs-whisper	EEVblog 1592 - Fluke 287 Multimeter Teardown
AuFSMpFzAnw	EEVblog	299	no-captions	eevBLAB 117 - The Youtube Bot Comment Problem
CnJ7mQ_Fo-8	EEVblog	4693	needs-whisper	EEVblog 1577 - History of Television & Cathode Ray Tubes with Kathy Loves Physics
-xtZvSG4N9I	EEVblog	1730	needs-whisper	EEVblog 1572 - Haefely 16kV ESD Tester TEARDOWN + Repair Part 1
qHFIaIUPE6I	EEVblog	1697	needs-whisper	EEVblog 1569 - A Very Ploopy Open Source Mailbag
MT1QTPEZoHY	EEVblog	1119	needs-whisper	EEVblog 1568 - Tesla Megapack 2 Battery FIRE! at Bouldercombe QLD
ZdbMuuu9trg	EEVblog	696	needs-whisper	eevBLAB 115 -  New Youtube Ad Changes FORCED on YOU!
gT8gzX2CPQA	EEVblog	592	needs-whisper	eevBLAB 114 - DHL Emergency Situation Surcharge is BS
hULNdrsh6uw	EEVblog	1187	needs-whisper	EEVblog 1562 - THE 1980's Boombox TEARDOWN - Sharp GF-7600
QHPFphlzwdQ	EEVblog	813	needs-whisper	EEVblog 1555 - Korean LK-99 Ambient Temperature Superconductor Demo Video FAIL!
5SbNnaMM1tQ	EEVblog	2995	needs-whisper	EEVblog 1552 - Digilent Analog Discovery 3
6ILKO0uNGDw	EEVblog	1679	needs-whisper	EEVblog 1549 - Mailbag Teardown Art, USB Power, and Multimeter
Uo_z5TKu_zo	EEVblog	662	needs-whisper	EEVblog 1548 - Moon Landing Hoax BUSTED
lJ3q9RHIatU	EEVblog	1730	needs-whisper	EEVacademy | Digital Design Series Part 5 - Karnaugh Maps
6-2ifl6AEvk	EEVblog	969	needs-whisper	eevBLAB 113 - How the Paid Media Influence Industry Works
atRvNG669Os	EEVblog	1196	needs-whisper	EEVblog 1544 - Platio Solar Pavement BUSTED!
qkaC3PTOcZY	EEVblog	384	needs-whisper	eevBLAB 112 - Purchasing Email SCAM
qegYDD1A8VA	EEVblog	597	needs-whisper	eevBLAB 110 - Linus Tech Tips HACKED!
HaTSjKzqTpg	EEVblog	221	needs-whisper	Keysight World Dumpster Scope Giveaway
g_VH8jd39Nc	EEVblog	1198	needs-whisper	EEVblog 1533 - How To Estimate Product Battery Life
lUAevbBh0rQ	EEVblog	1793	needs-whisper	EEVblog 1530 - Siglent SDS2000X HD 12 Bit Oscilloscope TEARDOWN
txPxo4TA0i4	EEVblog	3547	needs-whisper	EEVblog 1529 - R&S MXO4 12bit Oscilloscope Unboxing and Experiments
JlY37DWLtrw	EEVblog	2653	needs-whisper	EEVblog 1525 - Commisioned Mailbag
nVtefye9Yz4	EEVblog	774	needs-whisper	eevBLAB 107 - WARNING: Youtube Telegram Comment SCAM
uwQQVnTYt7k	EEVblog	820	needs-whisper	eevBLAB 105 - Does the Youtube Bell Notification MATTER?
4EcQYK_no5M	EEVblog	6143	needs-whisper	EEVblog 1506 - History of Electricity with Kathy Loves Physics
YIbQ3nudCA0	EEVblog	1021	needs-whisper	EEVblog 1504 - The COOL thing you MISSED at Tesla AI Day 2022
YFKu_emNzpk	EEVblog	1199	needs-whisper	EEVblog 1502 - Is Home Battery Storage Financially Viable?
Psp3ltpFvws	EEVblog	855	needs-whisper	eevBLAB 100 - Reuters Attacks Odysee - LOL
pKuUKT-zU-g	EEVblog	2152	needs-whisper	EEVblog 1488 - Tilt Five Augmented Reality AR Glasses - First Reaction!
7O-QckjCXNo	EEVblog	592	needs-whisper	eevBLAB 99 - AI SPAM BOT Youtube Space/Science/Tech Channels? - WTF
VutdTxF4E-0	EEVblog	115	needs-whisper	RIP The Old Garage Lab
8yXZJZCKImI	EEVblog	3373	no-captions	EEVblog 1483 - Holy Mailbag Bomb Batman!
H8ot_YPi6QU	EEVblog	431	needs-whisper	eevBLAB 98 - The Pressure Youtubers Are Under
GHbo4v8pahc	EEVblog	1186	needs-whisper	eevBLAB 97 - Is Apple Serious About Right To Repair? (The Verge)
gLfxznVJ2q0	EEVblog	585	needs-whisper	Petition - Australian Standards Should be FREE
wPzzPGzxD00	EEVblog	2850	needs-whisper	EEVblog 1468 - Electronex Show Tour 2022
ebQ2Im5zfT0	EEVblog	1138	needs-whisper	EEVblog 1466 - Dumpster Dive Xeon Server
E6obq3T71vI	EEVblog	1552	needs-whisper	EEVblog1457 - Old School Mailbag - ESC Burnout
kcWwAweWjQg	EEVblog	1048	needs-whisper	EEVblog 1453 - Elgato Key Light TEARDOWN
LZdK1JP2UX8	EEVblog	4021	needs-whisper	EEVblog 1444 - XMAS Mailbag!
530G7ngo6_Y	EEVblog	1797	needs-whisper	EEVblog 1441 - Electric Buses are NOT a SCAM (Adam Something)
paIkiPEHQlk	EEVblog	300	needs-whisper	eevBLAB 90 - How to get Kids into STEM at School?
JvOnvDJbKsc	EEVblog	2120	needs-whisper	eevBLAB 89 - Youtube is DEAD - Dislike Count REMOVED!
7JAuXQWvGlg	EEVblog	1589	needs-whisper	EEVblog 1434 - Cadex C7000 Battery Analyser Teardown
sBoBhGrOZ_E	EEVblog	4217	needs-whisper	EEVblog 1433 - More Adventures in Sony RX100 Repair (Part 3)
svNDD4XRJF4	EEVblog	1010	needs-whisper	EEVBlog 1432 - Owning an ELECTRIC CAR for 12 Months & 17,000km
84-Mh7LFpso	EEVblog	1797	needs-whisper	EEVblog 1430 - Rent vs Buy - My $400,000 MISTAKE!
T5cRvs44LcE	EEVblog	2722	needs-whisper	EEVblog Survey Results - 2021
oknr1OaqnUE	EEVblog	1777	needs-whisper	EEVblog 1422 - CAUSE of the Tesla Victoria Big Battery Fire
58rxS_AXYRA	EEVblog	797	needs-whisper	EEVblog 1421 - Epson Dumpster Hack
Bc67cIRHDmg	EEVblog	1197	needs-whisper	EEVblog 1419 - Sinclair C5 Restoration - Part 2
sREAh14_K0o	EEVblog	1763	needs-whisper	EEVblog 1416 - Random TEARDOWN: Sennheiser EW100 True Diversity Receiver
F7sHU3momzA	EEVblog	426	needs-whisper	ANNOUNCEMENT + GIVEAWAY - EEVblog 2021 Survey
moa3YBdLepg	EEVblog	693	needs-whisper	eevBLAB 88 - Right To Repair Questions & Answers
SFFGqXGvgx0	EEVblog	1794	needs-whisper	EEVblog 1412 - Argon Ion Laser TEARDOWN!
lDdRVtka0Jg	EEVblog	3369	needs-whisper	EEVblog 1408 - $5M WiGL Wireless Charging BUSTED!
YxyW_mttnQ0	EEVblog	1075	needs-whisper	eevBLAB 87 - Flake Multimeter Watch!
Muiwo1Rw4_8	EEVblog	2760	needs-whisper	EEVblog 1403 - Mailbag
AQK7RyecVW0	EEVblog	1430	no-captions	EEVblog 1397 - DC Fundamentals Part 2: DC Voltage & Current Sources (Thevenin & Norton Theorems)
Ns8FWobISNA	EEVblog	3623	needs-whisper	EEVblog 1391 - Mailbag
dxc5aHCVQzA	EEVblog	1692	needs-whisper	EEVblog 1390 - NEGATIVE Household Solar Consumption? WHY?
yb73J7dTg_w	EEVblog	961	needs-whisper	eevBLAB 86 - On The Importance Of Diligence + NEWS
BnKDj4ed40Y	EEVblog	1699	no-captions	EEVblog 1387 - MOSFET Repair Replacement Search
PNWmfdH_Bzs	EEVblog	598	needs-whisper	EEVblog 1384 - Halve Your Processor Power Consumption!
-Yafi1t1Fwk	EEVblog	1100	needs-whisper	EEVblog 1380 - BBQ IBM Chips
sHDJKiQIncU	EEVblog	935	needs-whisper	eevBLAB 85 - Youtube TAX!
QKdLP1cP3Dg	EEVblog	3149	needs-whisper	EEVblog #1375 - Mailbag: IEEE
ggeCYry3gTw	EEVblog	1782	needs-whisper	EEVblog #1374 - DIY Trezor Crypto Hardware Wallet - Part 1
zsfPaWLrS1w	EEVblog	1188	needs-whisper	EEVblog #1373 - DIY PCB Photograhy LED Light Box - Part 2
E_ChC3eY0zI	EEVblog	1055	needs-whisper	eevBLAB #84 - 2021 is the Year of Alternatives
oIImmlfCyzo	EEVblog	1771	needs-whisper	EEVblog #1363 - Solar FREAKIN' Roadways Gets NEW FUNDING!
pOIXHWdi6PA	EEVblog	3977	needs-whisper	EEVblog #1362 - A Very Skookum Mailbag
GSSxcJi6rqM	EEVblog	1079	needs-whisper	EEVblog #1359 - My SUPER PORTABLE Vlogging Kit!
dM280lopxms	EEVblog	799	needs-whisper	EEVblog #1357 - Dumpster Diving Santa PC
QrYYGS0uZlU	EEVblog	1439	needs-whisper	EEVblog #1353 - WHY Are These Pins Shorted?
UE-LXmYl8Mo	EEVblog	1564	needs-whisper	EEVblog #1352 - Aircraft Transponder TEARDOWN!
dtqBbaVNI0c	EEVblog	211	needs-whisper	eevBLAB #83 - DJI Pocket 2 Camera Registration BULLSHIT!
J7kBzYX1NvA	EEVblog	3267	needs-whisper	EEVblog #1351 - Mailbag
YZCPlbOuxJY	EEVblog	248	needs-whisper	EEVblog #1349 - Energizer Battery Leakage - MADE IN USA!
qnZ9KfJNjRQ	EEVblog	1463	needs-whisper	EEVblog #1346 - How An Infrared Optical Touch Screen Works
27jn7qwJ8VE	EEVblog	1197	needs-whisper	EEVblog #1344 - Custom Lab Storage Shelves
YgBC-Tvv9aY	EEVblog	1650	needs-whisper	EEVblog #1343 - DEAD Deck Cree LED's
ZPFLlWJnWHc	EEVblog	969	needs-whisper	Abandoned Lab Tour
dKs3LytrICA	EEVblog	1791	needs-whisper	EEVblog #1339 - Looking at an Electric Bus!
8ajM3kkKwNs	EEVblog	365	needs-whisper	eevBLAB #81: Google BANNED LBRY Android App from Play Store
51lGAzDM0-k	EEVblog	2867	needs-whisper	EEVblog #1338 - Rubber Coated Mailbag
